# z         Log L_0.5-2keV
      1.46800      41.3585
      2.20800      43.7482
     0.734000      42.0968
      3.10100      42.6437
      3.10100      41.7978
      2.44800      42.0413
     0.737000      43.9777
      1.10300      41.1533
     0.419000      40.3293
     0.769000      40.4827
     0.215000      39.3952
     0.312000      39.6588
     0.670000      40.3042
     0.668000      42.3080
      1.09700      40.9529
     0.248000      39.4977
      3.64200      42.4131
     0.212000      40.4985
      1.62600      41.3770
      1.91100      41.6481
     0.738000      41.7040
     0.210000      40.7393
      1.38300      41.2654
      1.09400      40.8275
     0.619000      42.3856
     0.735000      40.3283
      2.22700      41.5334
     0.371000      40.4627
     0.668000      40.5324
     0.511000      40.3349
     0.641000      41.1618
      5.24700      42.6440
      2.71400      42.1829
      3.70000      43.0382
    0.0760000      39.8937
     0.953000      41.2605
      1.32800      41.4850
      1.01700      41.0239
      1.20900      43.4287
    0.0750000      39.6605
      1.00500      40.8073
     0.960000      42.6525
     0.675000      40.7060
      2.71400      42.1937
     0.648000      40.9538
      2.30600      43.5187
     0.738000      43.0833
      1.22300      41.0979
      1.01800      40.8014
      1.50800      41.1739
      1.43800      42.0418
      2.90300      42.1714
     0.605000      40.6386
     0.666000      40.7102
     0.617000      41.9305
      2.22000      42.0502
      1.69200      41.9562
     0.970000      41.2659
     0.980000      40.9580
      1.50800      42.1039
      1.02400      41.1529
     0.895000      40.7501
      1.98200      42.9963
      3.41700      42.7949
     0.535000      40.2177
      1.42300      41.1022
     0.127000      38.7953
     0.955000      41.3373
     0.670000      40.2439
     0.346000      41.4722
      2.61800      41.5591
      1.07100      41.5891
     0.670000      40.7261
     0.952000      42.4730
      1.18800      41.0689
      2.36400      42.5542
     0.204000      39.4748
      3.57500      41.8606
      1.21500      42.1278
      3.10100      42.1628
     0.103000      39.5025
      1.38800      41.0712
      1.90300      41.5407
      1.89400      42.3503
      1.93600      42.0091
      2.62400      42.2084
      1.38400      41.1003
     0.832000      41.2257
      3.00100      42.9226
     0.366000      39.8205
      3.59500      41.9924
     0.668000      41.3882
      1.51000      43.4166
      1.96500      41.5375
      1.10700      41.3355
     0.978000      40.7393
     0.281000      40.1781
     0.839000      42.6106
      2.02500      41.4288
      2.64000      41.7979
    0.0380000      38.6690
     0.877000      41.5435
      7.62000      42.8885
      1.90000      42.6227
      1.08800      40.8611
     0.542000      40.4857
      2.57900      42.1148
      1.22300      41.2620
     0.735000      41.2479
      1.30900      41.9257
     0.359000      40.0060
      1.03800      41.0462
     0.218000      39.6133
      1.60800      41.3926
      1.61300      42.3321
     0.547000      41.0268
      2.57100      41.6215
     0.968000      41.3513
      1.58200      41.8234
      1.50800      41.2810
     0.999000      41.0767
     0.665000      42.6254
     0.126000      39.7107
      1.09600      40.9520
     0.691000      40.6429
     0.667000      40.5049
      1.84300      41.3829
     0.672000      41.1855
     0.664000      42.5228
     0.699000      40.5107
     0.665000      40.4128
      1.61900      41.3673
      1.60300      43.8198
      1.97200      42.2357
      3.41700      42.3855
      3.30900      43.5358
     0.837000      43.7106
      1.82900      42.6559
      2.53500      41.9422
     0.326000      39.6221
     0.641000      41.0015
      3.00100      42.4632
     0.456000      40.5392
     0.736000      40.7063
     0.246000      39.7801
      1.20800      42.5399
     0.297000      41.9094
      2.12300      41.9734
      3.10100      43.2651
      1.21600      42.9115
     0.733000      40.8229
      1.76400      41.8689
     0.580000      40.8793
      2.12300      41.8942
      1.31700      41.3279
      3.06400      43.4148
     0.366000      40.5216
     0.413000      40.2915
      1.55200      42.9078
      1.11200      41.0247
     0.522000      40.4036
      1.99800      41.6187
     0.734000      41.7597
      3.24900      42.3053
      2.01200      41.6215
      3.52800      43.5237
      1.29800      41.3984
      1.47600      41.4118
     0.635000      40.5574
     0.160000      39.6633
     0.798000      41.1396
      1.62600      41.5562
      3.61000      43.9408
      2.80800      43.3924
     0.666000      40.3051
     0.152000      39.9534
     0.661000      41.6289
     0.458000      40.3491
      2.12300      43.4988
     0.240000      40.2186
      3.19300      43.4540
      2.80800      41.7634
      1.62600      42.0853
      1.92000      43.6028
      1.60300      41.5532
      1.57000      41.5180
     0.736000      40.9909
     0.278000      40.3811
      2.68800      43.2269
      3.20400      43.2945
     0.497000      40.4347
     0.738000      40.8414
     0.279000      41.0131
      3.47100      43.3141
      1.95500      41.5824
     0.414000      41.0877
      1.01600      42.2205
      2.59300      42.9804
     0.564000      41.5055
     0.709000      41.0670
     0.214000      39.6377
     0.458000      40.9913
     0.438000      40.4646
      3.52800      43.2149
     0.734000      41.3193
     0.622000      40.7246
     0.733000      41.6151
     0.534000      40.4191
     0.981000      41.0582
     0.103000      40.0224
     0.744000      41.1716
      1.38200      41.6665
      1.22000      41.9322
     0.668000      41.5661
     0.769000      41.7299
     0.103000      40.4342
      2.29200      42.0382
     0.152000      40.2806
      1.17800      41.7620
      2.80800      43.1879
      1.11400      41.8357
     0.729000      41.3430
      1.62600      41.5992
     0.979000      43.5467
     0.733000      43.1227
     0.233000      39.7732
     0.667000      41.8962
      1.12000      41.3492
     0.767000      41.0546
      2.28200      43.1581
      1.22200      42.2530
     0.216000      39.9058
    0.0770000      38.9545
     0.338000      40.3014
      2.19300      41.8406
      3.76900      42.3983
     0.966000      42.0736
      3.47000      44.1322
     0.527000      40.7235
     0.853000      41.1269
      4.65800      42.9682
      1.02000      42.2110
     0.277000      40.3654
     0.534000      40.8229
      1.36700      41.6626
      1.11500      41.7067
      1.22000      43.0692
     0.988000      41.0729
      1.69200      42.7766
      3.41700      43.2773
      1.62500      42.6669
      1.58600      42.0239
     0.532000      40.7824
     0.105000      39.6373
     0.366000      40.8687
      1.14600      41.6753
     0.104000      39.7543
      3.08200      43.1655
      1.32100      41.8014
     0.622000      41.6212
      1.18900      41.6377
      1.37900      42.3676
     0.733000      42.8155
      1.15500      41.7065
      2.20200      43.0267
     0.251000      41.2560
      1.26400      42.5540
     0.424000      41.6836
      2.57900      44.3081
      3.30900      42.7132
     0.512000      42.4030
      2.00800      43.9324
      1.69200      42.4972
      1.08900      42.4713
     0.981000      42.7845
     0.619000      42.3046
      1.84200      44.3896
      3.10100      44.0799
      1.13000      41.6861
      4.25300      43.6234
      1.25700      43.2667
      1.51500      42.4633
      1.37900      42.3319
      1.76000      42.5925
      1.90000      42.4626
     0.103000      39.3263
      1.46700      42.7261
      2.02700      42.2025
     0.521000      41.5972
      2.20200      43.1653
      1.12600      41.6589
      4.63500      42.9321
      1.60900      43.8588
     0.848000      41.5959
     0.732000      41.3985
      2.07200      43.7143
      1.33500      42.6780
     0.786000      42.3434
     0.347000      41.5734
     0.181000      40.2079
      1.03400      43.2716
      1.83100      42.4230
     0.562000      41.4920
     0.218000      40.7875
     0.688000      42.5261
     0.128000      40.9614
     0.129000      41.3124
