# z         Log L_0.5-2keV
      3.47100      43.3609
      2.65300      44.2020
     0.628000      41.9461
     0.775000      41.9722
     0.995000      42.1116
      1.40800      42.4624
     0.698000      43.8204
     0.427000      42.2966
     0.693000      42.4140
     0.729000      42.1562
      2.07600      43.9163
    0.0830000      39.8628
     0.769000      42.2692
      2.95700      43.0311
      1.38000      43.0977
      1.24100      42.4158
      1.82800      42.9739
      2.97500      43.4718
      1.18300      42.8378
      1.08900      42.5392
      2.84600      43.2340
      2.05400      43.0497
      1.02000      42.1561
      1.49300      42.5888
      1.18200      43.2580
     0.793000      42.1720
     0.599000      41.7240
      1.02200      42.1693
     0.616000      41.8462
     0.335000      41.4343
     0.497000      42.5292
      1.40400      42.4632
      1.62400      42.7679
      1.42000      42.8902
     0.934000      42.3911
      1.25600      42.5012
      1.95100      43.1569
      2.95500      44.3987
      3.79100      43.3365
     0.674000      41.9265
     0.382000      41.1199
     0.354000      41.3241
      1.83700      44.0597
    0.0790000      40.1894
    0.0780000      39.8586
      2.76200      43.2691
      2.49700      43.0678
      3.54600      43.4826
      3.42800      43.5359
      1.59000      42.9713
     0.415000      41.4258
      2.04600      43.0081
      5.04500      43.5518
      1.18800      43.3264
     0.360000      41.3574
     0.829000      42.2822
      1.34000      42.6875
      1.58900      43.4798
      1.95400      43.0334
     0.890000      42.2446
     0.248000      40.9668
      2.05300      43.7571
     0.789000      42.0537
     0.345000      41.2801
      1.48400      42.8490
     0.792000      42.2623
      1.82000      43.7030
      2.14700      42.8628
      1.20700      42.5119
      2.37200      43.8937
      1.63400      43.3483
      2.37700      42.6688
      1.08200      42.5629
      1.33400      43.6434
      2.83600      43.8566
      2.62000      43.4722
      2.64600      42.9630
      1.28400      43.1806
      1.94700      43.4974
     0.196000      41.1445
     0.817000      43.0672
     0.372000      41.7277
      1.93300      43.3349
     0.800000      43.6796
      3.03400      43.2778
     0.678000      42.3024
      2.07100      43.5642
      1.23800      42.7765
      1.33900      43.9147
     0.958000      43.7602
      1.12400      43.0761
      2.68600      43.9407
      1.25900      43.2948
      2.12100      44.1918
      1.78200      43.5201
     0.260000      42.9128
      1.00400      43.1972
      2.04200      43.5844
     0.351000      42.0761
      2.07400      43.4471
      1.85700      43.0298
      1.85200      43.0301
      1.49100      43.2610
      2.45400      44.1610
      2.16900      43.8782
      1.34600      43.7135
     0.271000      42.0115
      1.02900      42.7236
      1.30000      42.7284
     0.678000      42.9258
     0.888000      42.0815
      1.97100      43.1678
     0.554000      42.9167
      1.37000      43.3527
      1.19500      43.2768
      1.18800      43.6110
     0.527000      41.8743
     0.946000      43.0129
      2.06400      43.2602
     0.675000      42.6424
     0.483000      42.1803
      1.86600      43.2915
      1.18700      43.6363
      2.64600      43.5362
      3.74800      43.8365
      3.51200      44.0112
      3.87100      43.7536
      2.44800      44.7106
      2.97600      43.2289
      1.56200      43.5846
      2.05500      44.3712
     0.748000      43.2322
      1.39100      43.2649
      3.48200      43.6759
     0.104000      41.9731
     0.340000      42.9685
      1.44000      43.5281
      1.21400      43.4198
      2.49100      43.2989
      1.37700      43.7120
     0.434000      42.4351
      1.19800      42.7971
      2.50700      44.0713
      1.02500      42.6044
      2.95100      44.1088
      2.23600      43.3185
      1.72500      43.3849
      1.11800      42.3412
      1.67900      44.0170
      1.86200      43.2774
     0.700000      43.3589
     0.772000      42.3131
      1.40600      43.0135
      1.00000      43.5133
      4.45000      43.9804
      1.45500      42.5766
      1.27500      42.6565
      2.80800      43.5974
      2.58900      43.5444
     0.195000      40.8362
      2.59900      43.1522
      1.62700      43.5638
      1.76600      42.9221
     0.893000      43.0510
      1.83400      43.3164
     0.410000      41.6026
      2.59000      43.8951
      1.09000      43.3111
     0.983000      43.2420
      2.17800      43.3972
      1.06300      42.4167
      1.35600      43.3660
      1.73100      42.7142
      1.55500      43.1730
      1.85000      44.3350
      1.82000      42.8449
      2.06400      43.0310
      1.20100      42.4947
      1.28200      42.8448
      2.31400      43.3402
      1.24800      43.2187
     0.123000      40.7272
      2.42300      42.9010
      2.22400      43.0078
      2.81300      43.7347
     0.920000      41.9192
     0.371000      41.7286
      1.57300      43.1807
      1.72300      43.2016
      1.73000      42.6428
      2.62200      44.1441
    0.0720000      40.1081
     0.267000      41.1925
      1.82600      42.5237
     0.910000      42.2285
     0.834000      42.2531
      1.17700      42.5063
      1.32100      43.5244
      1.85400      43.7240
      1.22000      43.7872
      2.45000      43.0621
      1.78400      44.2861
      1.56900      43.8971
      1.24500      43.2345
      1.31500      43.1030
      1.76400      43.9408
     0.738000      42.2372
      1.44000      43.1292
      1.65900      43.4637
      1.45600      42.8897
      3.08200      43.1207
      2.07900      43.2706
      1.36400      42.6878
      2.44800      43.1589
      1.15600      42.8861
      1.03400      42.5208
      1.16100      42.6193
      2.16400      43.0032
