# z         Log L_0.5-2keV
      2.96596      44.6885
      1.53237      43.8391
      3.18959      45.0483
     0.342398      43.1229
    0.0461664      40.5591
     0.387885      43.0946
    0.0467712      40.9229
      1.93546      44.4441
      1.57290      44.2197
     0.468424      43.7938
      1.24936      44.3282
     0.105744      41.6646
      1.20856      44.1788
      1.31650      44.5447
      2.63838      44.7131
     0.560375      43.4849
      1.57433      44.9573
      2.18383      44.4894
    0.0781576      41.5009
     0.873064      43.9904
    0.0456346      42.2401
      1.52943      44.1903
      2.88347      44.4587
    0.0532805      40.5199
     0.246293      42.1827
      2.52408      44.7354
     0.961030      43.8481
     0.792442      43.8395
      1.46998      44.1215
     0.569864      43.4109
      1.31832      44.6384
     0.340565      42.5016
     0.612959      44.6880
    0.0911400      42.0618
      1.05233      44.1688
     0.866658      44.3539
      1.15943      44.0394
      2.56638      45.0372
    0.0782200      41.4782
      2.24269      44.2389
    0.0472493      40.7933
    0.0777866      41.1669
      1.16481      44.1447
      1.79397      44.0529
      2.18923      44.7243
     0.888492      43.4677
     0.908808      44.0166
     0.919485      44.0937
      1.53950      43.9473
     0.661126      43.6431
     0.555957      43.1858
     0.612260      43.2214
     0.985686      44.2125
     0.257762      42.0220
      2.28272      44.7315
     0.758147      43.5220
      1.80946      44.7276
      1.50121      44.0504
    0.0900920      42.9000
      1.35900      44.1210
     0.794380      44.1120
     0.180766      43.0413
      1.11643      44.1595
      1.29698      44.1947
      1.17167      43.7468
     0.859993      43.2993
      1.20448      44.1720
     0.349636      42.9595
      1.81473      44.3794
     0.759670      43.6803
      1.12995      43.9021
      2.15810      44.6818
     0.647245      43.8234
      1.80215      44.8890
     0.349161      42.8551
    0.0928691      41.7041
     0.165860      42.4474
     0.864697      44.8695
      1.11762      44.2204
      1.71940      44.4055
      1.65543      44.6763
      1.09779      43.9528
     0.816445      43.9434
      2.37494      44.8206
    0.0174327      40.1612
      1.21490      44.3446
     0.328578      43.9529
      2.17952      45.0188
     0.764486      43.9783
     0.805898      43.4438
     0.284286      43.0334
      1.78319      44.4785
     0.216649      43.5619
     0.322493      43.2355
     0.907500      43.7755
     0.884091      44.9481
     0.574575      43.8189
      1.04406      44.1446
      1.63116      44.2962
     0.340559      42.8769
      1.71380      44.1886
      1.36185      44.6532
     0.708276      43.4431
      2.12090      44.9384
     0.771658      44.6227
      1.00248      44.0824
      2.53681      44.5960
    0.0767398      40.7664
      1.37073      43.8926
      1.55894      44.3043
    0.0285516      40.1852
      1.74805      43.9327
      2.50105      44.8237
     0.711042      43.4449
     0.370252      43.1876
     0.920006      43.8809
     0.432106      43.6344
     0.430048      43.0252
     0.576399      43.4817
      1.72907      44.7191
     0.465097      43.4417
      1.38054      44.3141
     0.267216      42.3753
     0.882939      43.6819
     0.545879      43.5516
      2.27902      45.5945
      1.07453      45.5304
      1.42903      44.3978
      1.17018      44.0774
      1.89054      44.7218
     0.893022      43.8715
      2.16496      44.5302
      1.28381      44.1571
      1.76698      44.6129
      1.76445      44.8791
     0.609433      43.7932
      1.85655      44.3191
      1.43614      44.4456
      1.45765      44.5270
     0.298670      43.0684
     0.623257      43.9406
      1.37579      44.2272
     0.379284      43.4607
      1.39589      44.3464
      1.03679      43.9839
     0.437747      43.7924
      2.45536      45.1215
      1.87905      44.7170
     0.435697      43.3887
     0.656149      43.8027
     0.392350      42.8968
     0.169021      41.9109
      1.15671      44.7461
     0.523053      43.0137
      2.74878      44.6734
      1.97483      44.3578
     0.977451      44.0888
     0.926719      43.4863
      3.23428      45.0460
      1.28933      44.1144
      2.89488      45.1501
      1.19103      44.1773
      1.31370      44.2822
      2.13752      44.6778
     0.811122      44.6101
     0.934060      43.8364
      1.32175      44.2865
     0.385094      42.6251
     0.897192      43.9619
      1.55312      44.3558
      2.73191      44.4337
     0.962285      43.7720
     0.943718      44.4446
     0.534335      43.7515
     0.351013      43.0471
      1.19976      43.9480
      1.55455      44.1954
    0.0956866      41.8670
      2.40071      44.5699
      1.46430      44.4258
      2.48929      44.6235
      2.36982      44.4096
