#R-K     X/O
      3.31844     0.307890
      3.88659     0.468275
      1.88333    0.0207238
      2.83807    -0.336814
      3.01069     0.700361
      1.83123    -0.386212
      3.56676     0.910717
      2.68529     0.533256
      2.62431     0.280334
      3.61721      1.16265
      2.72525     0.384343
      2.68829     0.470692
      2.46266    -0.235225
      2.85653   -0.0882931
      2.47570     0.205277
      2.96512     0.205153
      2.22016    -0.138415
      3.02529     0.549475
      2.07160    -0.641832
      2.27659    0.0659089
      2.38574     0.488300
      2.74908     0.310080
      1.77163     0.346094
      3.29669 -0.000339031
     0.819649     -1.48351
      2.76795     0.288342
      2.93451      1.54754
      1.66886     0.158780
      1.93633     0.126330
      2.58735     0.445894
      2.33711     0.464715
      2.73321   -0.0665989
      2.12263     0.536309
      3.40367      1.04866
      2.70844     0.544061
      2.49486     0.197679
      2.82694  -0.00227261
      2.60655     0.899829
      3.31970     0.419723
      1.80107    -0.157446
      2.40796     0.658943
      3.27817     0.933144
      3.18874    0.0127635
      1.87076     0.161222
      3.66919     0.570936
      2.71531     0.809377
      2.40605     0.729198
      2.50484     0.520397
      2.19640    0.0769081
      2.29924     0.265798
      2.03468   -0.0561266
      3.23531     0.597482
      3.24801     0.282135
      3.27001      1.02881
      3.20155     0.905672
      3.00984     0.907952
      3.04150    0.0993032
      2.09343     0.307308
      2.89739     0.642588
      2.09509    0.0368361
      3.28958     0.693756
      1.77979     0.195573
      2.76128    0.0591712
      3.42377     0.542759
      2.23786     0.464410
      1.64247     0.471325
      2.32074     0.519876
      2.28499    -0.238994
      1.58631     0.254467
      3.32618     0.780396
      3.16644     0.269361
      1.96432     0.420354
      2.22329   -0.0532875
      2.74767     0.712982
      2.24849     0.419605
      2.50407     0.196360
     0.619223      1.08752
      3.56805     0.755596
      1.94240     0.310658
      2.89604     0.587551
      3.17999     0.769524
      2.02849     0.755515
      2.03911     0.353042
      2.76534     0.545354
      2.90602      1.07946
      2.89141    -0.158756
      1.88873    -0.315714
      3.01685     0.507394
      3.42875      1.09023
      2.37779   -0.0348997
      2.21598     0.356265
      2.12136     0.344373
      3.25990     0.902245
      3.20156     0.766675
      1.26719    -0.424495
      2.10656   -0.0728717
      3.02003     0.941154
      3.19285     0.680505
      3.09303     0.496040
      2.50433     0.203598
      2.07281     0.238309
      1.74975    -0.447403
      1.84441     0.754961
      2.93838    -0.345986
      2.96577     0.551385
      2.03039    -0.306603
      2.39520     0.138502
      3.38316     0.385247
      3.26236     0.802846
      2.21171   -0.0460243
      1.77405    -0.678909
      2.29128    -0.168159
      2.94166     0.530877
      1.81385     0.317072
      2.50517    -0.280092
      1.64182   -0.0135140
      2.13472     0.444852
      1.82276    -0.308501
      3.02287     0.330553
      1.81429    0.0494347
      2.30716   -0.0811963
      1.70097    -0.482458
      2.60378    0.0927410
      2.29455     0.131660
     0.750265     -1.94844
      3.00425     0.589367
      3.33651     0.773095
      2.08079    -0.151988
      2.96062     0.277296
      2.10166     0.142685
      2.12395     0.580966
      1.68307   -0.0200634
      2.91089     0.453546
      2.60940     0.325414
      3.19090     0.793876
      2.26058    -0.761663
      1.78680    -0.113993
      3.19389     0.438465
      2.35822   -0.0610070
      3.20004     0.550495
      2.48734   -0.0589304
      2.82458     0.521309
      2.01941    0.0394592
      3.05947     0.611506
      3.46170     0.209578
      2.04923     0.162402
      1.99175    -0.143740
      2.15721    -0.116835
      3.06423     0.268661
      1.79148    -0.181271
      3.82855      1.02255
      1.69186    -0.124969
      1.70163    0.0407820
      2.29489     0.677827
      2.50888     0.560428
      2.56823     0.180291
      1.92675     0.582933
      1.66424   -0.0172620
      3.53650     0.762228
      3.19804     0.631778
      2.27090     0.285682
      1.82731    -0.453528
      1.77969     0.455933
      3.56366     0.855669
      1.93414   -0.0922003
     0.333311     -2.24117
      1.75671    -0.108996
      2.52781     0.116664
      2.56142     0.286206
      2.10533     0.732047
      2.28818    0.0826292
      1.87906     0.279788
      2.61996     0.306483
      2.65019     0.357110
      2.33191     0.617131
      2.29766     0.210918
      2.28726     0.441371
      2.40533     0.341004
      3.27229     0.298412
      1.62065     0.101789
      1.49879     -1.40689
      3.42630      1.55143
      1.60939     -1.43540
      2.32113     0.660274
      2.07119    -0.318516
      3.17660     0.272515
      2.93756    -0.135119
      2.24436    -0.196709
      2.00597   -0.0474930
      2.45592     0.542280
      2.00130     0.117111
      3.53434    0.0320539
      2.62957     0.731922
      2.59338     0.668461
      3.20856     0.712714
      2.25764     0.682545
      2.38333     0.732239
      3.28756     0.376760
      2.96471    -0.224761
      2.75744     0.685004
      2.21468     0.457121
      2.17730    -0.374722
      1.33247     0.494666
      2.21984    -0.133386
      2.71398     0.150958
      1.94671   -0.0496054
      2.36140     0.569121
      3.51829     0.393622
      2.63326     0.473645
      1.44183     -1.27920
      2.41528  -0.00778294
      3.08747     0.317115
      1.94428    -0.668846
      2.43321   -0.0465112
      2.47530    -0.113227
      1.93228     0.152236
      1.93520    0.0414405
      2.31427    -0.558887
      3.10649     0.514201
      2.14869     0.416201
      2.54137    0.0950017
      2.52773     0.625290
      3.10901     0.974277
      1.98926     0.243633
      2.62620     0.602460
     0.691239     -1.43644
