#R-K     X/O
      2.70775    -0.163786
      3.08065     0.637784
      3.18189     0.338563
      3.80476     0.627073
      3.23102     0.566702
      3.19259     0.563023
      3.56986     0.724019
      3.29922     0.623531
      3.13866     0.237875
      3.54745     0.713633
      3.23137     0.634135
      3.28756     0.132845
      2.76556     0.331553
      3.61354      2.21497
      3.10979     0.263216
      2.76421     0.563033
      3.49936     0.541203
      3.55593     0.514763
      3.30697     0.824206
      2.86014     0.995479
      3.07729     0.702410
      2.70191     0.496232
      2.77582     0.139559
      3.92542      1.11476
      3.05325     0.112855
      3.82090     0.666921
      2.51487     0.329547
      3.25111     0.570988
      2.71774    -0.110724
      3.55419     0.391032
      3.61794      1.05687
      2.58873     0.374434
      3.82169      1.22013
      2.81420     0.323165
      3.50660     0.957433
      3.10334     0.872999
      3.43128     0.458423
      3.47708     0.497061
      2.64123    -0.344990
      2.76739     0.923887
      2.79829     0.100825
      3.36579      1.08702
      2.58780     0.780466
      3.26868   -0.0857921
      3.96855     0.489049
      3.69612     0.864906
      2.49663     0.826510
      2.91538     0.933878
      3.66134     0.778375
      2.69027     0.299234
      3.24365     0.537554
      3.15802    0.0300474
      3.46904     0.248276
      3.41510     0.314455
      3.29202    -0.295401
      1.59907     0.256838
      2.63768     0.243633
      3.64214     0.578452
      2.17354     -1.60334
      3.28827     0.650764
      3.74776     0.775884
      3.70691     0.282323
      1.70721    -0.478282
      2.45225     0.497235
      3.23918     0.459615
      3.73250    0.0470810
      2.25707     0.135070
      1.52307    -0.647648
      2.54656     0.110721
      3.11233     0.135217
      3.32679     0.957995
      2.42625   -0.0505190
      3.33416     0.304994
      1.03742    -0.740645
      3.02637     0.184861
      3.55304     0.930892
      3.25503     0.489793
      2.52364    -0.211926
      3.89256     0.279830
      3.40321     0.861928
      2.58524     0.392541
      3.37264     0.613121
      3.26517     0.502151
      3.28093     0.472120
      3.78313     0.759449
      3.13384     0.315555
      3.84688     0.639677
      2.66828     0.686022
      3.61714     0.576990
      3.00073     0.697658
      3.63387      1.15577
      3.58587     0.262926
      3.07808     0.579488
      3.97171     0.971647
      3.34197     0.720219
      3.13046     0.271504
      3.65142      1.23799
      3.86842     0.866631
      3.66321     0.517323
      2.74353    -0.138721
      3.24227     0.641498
      3.00314     0.164955
      3.42103      1.16208
      3.85605     0.680304
      3.36893      1.36608
      2.60187      1.02395
      2.64162     0.230646
      2.09737     0.380093
      2.90075     0.691960
      2.54255     0.997323
      3.10809    0.0503645
      2.94538  -0.00139141
      3.14209      1.45862
      3.83764     0.379586
      2.63239     0.578597
      3.72078      1.18778
      2.90118     0.551655
      3.23710     0.822967
      3.26599     0.666306
      1.96396     0.356156
      2.33581      1.11147
      3.38781     0.515010
      2.57572    -0.230524
      2.82384     0.924280
      3.44948     0.648075
      3.09269     0.203790
      3.01732     0.175352
      2.27377     0.579967
      1.67448     0.100416
      3.17801     0.222591
      3.38334    -0.117679
      3.72187     0.557340
      3.62601     0.335815
      2.69546     0.374228
      2.68278     0.363109
      3.74652      1.21293
      2.67710     0.331218
      2.16130     0.213707
      3.96376      1.11937
      2.06253  -0.00715160
      3.90186     0.767611
      2.79704     0.229683
      2.83221     0.427526
      3.45532     0.481310
      2.78649     0.573836
      2.56698     0.488214
      2.62515   -0.0870190
      2.52352     0.161900
      3.78669     0.568552
      2.72145      1.35386
      3.73183      1.52456
      2.21641     0.377690
      3.44356     0.752443
      3.61900     0.648790
      3.76167      1.18562
      3.78126     0.480391
      2.94822     0.104472
      2.95539   -0.0250978
      3.52947     0.670749
      2.63311     0.130404
      3.69270      1.08270
      3.85609      1.50030
      2.94447      1.08914
      3.64806     0.594144
      3.76137     0.786843
      3.21801     0.493213
      3.48240     0.722550
      3.13417     0.957120
      3.80469     0.476851
      3.36249     0.779017
      2.72558     0.513710
      2.72427    -0.209949
      3.26017     0.434200
      2.69839     0.456845
      3.28759     0.564732
      2.91282     0.535622
      2.07386     0.527312
      3.11048      1.05199
      1.84630     0.717135
      3.23448     0.856533
      2.84356     0.192534
      3.71533     0.912098
      3.40424     0.547807
      3.47558     0.799593
      3.11480   0.00951481
      3.20376     0.745362
      2.73059    0.0992522
      3.31738     0.655835
      3.67171     0.398885
      2.89340     0.244558
      3.30375     0.630193
      2.24820     0.423348
      3.51983      1.20333
      2.18567     0.433445
      3.69718     0.385985
      3.41589      1.08841
      3.65566     0.553629
      3.04740     0.110381
      3.97647     0.480667
      3.64212     0.691034
      3.89919      1.20423
      2.81668   -0.0210085
      3.37004     0.648008
      3.11970     0.326499
      2.55033     0.418357
      3.08568     0.718146
      3.38868     0.533218
      3.94370      1.05194
      2.57006    -0.260291
      2.94814     0.383255
      2.15322     0.361931
      2.27501    -0.434284
      3.51341      1.02611
      3.40701     0.503350
      3.98684     0.818304
      2.35401     0.151304
      2.33013     0.221198
      2.73424     0.656438
      3.55857     0.772385
      1.98045    -0.489768
      2.86221     0.755305
      3.40926     0.376909
      2.85106     0.149381
      3.93377      1.05540
      2.95144    -0.706621
      3.72583     0.613139
      3.57220     0.687974
      3.19847     0.312920
      3.16614     0.543959
      3.73940     0.848294
      3.14496    0.0229445
      3.93203     0.789960
      3.62294     0.651272
      3.67707      1.45360
      2.89307    -0.434829
      3.93127      1.01036
      3.34284     0.929386
      2.21470     0.538675
      3.39156     0.955470
      3.83931     0.976185
      3.52374     0.693155
      3.70132     0.348793
      3.66348     0.295960
      3.59091     0.908163
      3.28187    0.0799446
      3.17470     0.665770
      3.95022     0.192390
      3.45786     0.708049
      2.70603     0.667548
      3.61543     0.627129
      2.80262      1.23905
      3.69628     0.934511
      2.08911     0.914503
      3.26421     0.480848
